State,lat,lng
ME,44.588511,-69.5990749
GA,33.94385375,-83.3972898
IL,31.2579584,-95.9782919
NC,35.5848596,-80.8100723
CO,39.063956,-108.5507316
ON,43.8088119,-79.2334018
FL,27.77330515,-82.6469933
NY,40.7250986,-73.2453945
CO,40.1672117,-105.1019286
WA,47.7573202,-122.2440147
HI,20.8029568,-156.3106832
PA,40.6022059,-75.4712793
LA,30.2265949,-93.2173758
NE,40.956282,-96.7834109
CO,34.0349194,-102.8149371
NY,43.085391,-77.9417139
NY,41.4459271,-74.422934
NC,35.2270869,-80.8431267
FL,28.1614046,-81.6017416
MI,42.2575385,-83.2110374
CT,41.4860186,-73.0509431
FL,27.0998708,-82.4544131
OR,45.5469302,-122.4370392
GA,33.4473361,-84.1468615
SD,44.490817,-103.8593699
NC,33.9732275,-78.385837
NY,40.64530975,-73.9550229
WA,47.1377,-122.4764999
CA,38.3565773,-121.9877443
NJ,40.785529,-74.0083002
KS,38.8843867,-94.8161126
GA,33.6723506,-82.8612562
FL,27.6387163,-80.3975398
IN,38.8611619,-86.4872148
NV,39.5158825,-116.8537226
FL,27.928464,-82.2880445
FL,29.10150985,-81.0105537
CA,33.8358492,-118.3406287
CO,40.1672117,-105.1019286
TX,27.8002542,-97.3955743
GA,32.598313,-83.6256769
WA,47.5395736,-122.156333
NC,36.069026,-79.4005759
MD,38.9786401,-76.4927859
OK,36.6600752,-100.679207
FL,27.9094665,-82.7873243
NJ,40.55418,-74.2860007
NJ,40.55418,-74.2860007
FL,28.06906015,-82.6501914
NC,35.824321,-78.3147199
MD,39.3720477,-77.2719278
CO,39.063956,-108.5507316
CO,38.8339578,-104.8253484
MS,30.4263092,-88.8908637
NJ,40.3159438,-74.0851403
OR,45.4871723,-122.8037803
NY,43.286736,-76.1460359
CA,33.1580933,-117.3505938
OK,35.0537094,-94.6235578
AZ,33.436188,-111.5860661
ON,43.9172764,-78.8614873
FL,27.9094665,-82.7873243
IL,41.34059,-87.6214285
UT,37.1330355,-113.6541265
UT,37.1330355,-113.6541265
KS,37.5455735,-97.268933
PA,32.3026416,-86.0085693
NH,42.8384221,-71.1470036
NY,40.64530975,-73.9550229
FL,28.7211775,-82.3076844
MD,39.60455,-76.4777421
GA,34.2978794,-83.8240662
CA,32.7174209,-117.1627713
ME,43.59622635,-70.3300556
ND,46.8083268,-100.7837391
FL,24.7209744,-81.0186826
BC,48.4283327,-123.3649268
GA,33.5726113,-84.4132593
AR,33.3578937,-91.8504083
CA,34.364744,-119.3105822
VA,33.7237617,-116.2673236
VA,37.3265112,-80.7350711
FL,30.38208845,-86.3640414
HI,21.304547,-157.8556763
CA,34.1508718,-118.4489864
CA,34.1816482,-118.3258553
TX,33.1976496,-96.615447
ID,43.61656,-116.2008349
IL,39.7989763,-89.6443687
CA,37.3361905,-121.8905832
TN,35.4959148,-89.5089637
NE,40.8,-96.6678209
WI,44.2127373,-91.123762
VA,37.2634817,-78.6825049
FL,27.7729445,-82.3981418
UT,40.7670126,-111.8904307
SC,33.6956461,-78.8900408
OR,45.3573429,-122.6067582
CA,33.1433723,-117.1661448
MO,38.577359,-92.1724264
BC,48.4283327,-123.3649268
FL,26.5253491,-80.0664308
FL,27.928464,-82.2880445
FL,28.2336196,-82.1811946
CT,37.9317492,-122.0327847
VA,38.658172,-77.2497049
IN,39.9555928,-86.0138728
KY,38.2542376,-85.7594069
VA,38.658172,-77.2497049
MN,45.1607987,-93.2349488
VT,44.205835,-73.2465359
MA,42.1014831,-72.5898109
GA,33.3806716,-84.7996572
FL,27.9094665,-82.7873243
FL,26.6058996,-81.9807339
KS,37.6922361,-97.3375447
PA,40.1539613,-79.7411534
NY,41.8448104,-75.0071096
OH,39.9622601,-83.0007064
SD,43.5499749,-96.7003269
NC,35.4306712,-82.5012315
MT,45.7874957,-108.4960699
MT,45.7874957,-108.4960699
OH,40.3972892,-81.5620642
OH,40.5728404,-81.0856531
VA,37.0300969,-76.3452056
TN,36.1622296,-86.774353
ME,43.1033619,-70.7851622
PA,40.2790921,-80.1017976
NY,40.85703325,-73.83669606
NY,40.7305991,-73.9865811
NH,43.39008,-71.0657499
CA,33.870413,-117.9962164
OH,39.3292396,-82.1012554
MA,42.7262016,-71.1908923
WA,46.2631897,-119.4878019
WI,44.5229223,-89.5741109
NC,35.9556924,-80.0053175
ID,43.6678736,-116.6894155
OK,36.6600752,-100.679207
MT,47.32121,-106.9104609
TN,36.3487196,-82.2106875
PA,40.5882821,-79.7298186
CA,33.778562,-117.0357665
ID,43.5737361,-116.5596312
WI,44.0206919,-88.5408573
CO,39.6329025,-106.4711837
ME,44.156593,-68.6672969
CA,38.4087993,-121.3716177
AZ,31.9678731,-110.2945759
NY,42.8095455,-74.0216719
ON,42.988576,-81.2466429
ID,43.7068282,-116.6201356
KY,37.6456488,-84.7721822
MN,45.0759797,-93.4561051
AZ,34.4742786,-114.3440009
AZ,33.34883,-112.4912299
OR,45.2942822,-123.1764948
OR,45.5372449,-122.4178386
IL,46.4385488,-87.2793086
AB,51.1777781,-115.5682503
FL,27.7458626,-81.5306312
NJ,39.3851791,-74.6756877
OR,42.6109085,-122.8218511
WI,44.2597027,-88.8648343
WI,44.7927298,-89.7035958
TN,36.5277607,-87.3588702
WA,46.2778406,-119.2769066
IA,41.5255466,-90.5081477
AZ,33.4485866,-112.0773455
OR,45.5202471,-122.6741948
WI,44.5229223,-89.5741109
WA,47.6038321,-122.3300623
SK,53.201097,-105.7489009
WI,44.5229223,-89.5741109
IL,41.7729107,-88.1478669
WI,43.9680365,-88.9434476
OK,35.91537,-94.9699559
AZ,33.5389854,-112.1858156
OH,40.0386822,-81.444562
MS,34.3764923,-88.68172
OR,45.5202471,-122.6741948
OR,45.5228939,-122.9898269
CA,33.888658,-118.3076479
CO,40.1672117,-105.1019286
FL,28.9005446,-81.2636737
NE,41.1158475,-98.0017248
TX,32.8629195,-96.97917017
FL,30.3321838,-81.6556509
WI,42.81032,-89.8622148
OH,39.9622601,-83.0007064
SC,33.0206179,-80.1747536
WI,44.3735635,-89.03185979
NC,36.145965,-81.16064
ON,43.8356637,-79.0905385
CA,36.7295295,-119.7088612
AZ,33.5389854,-112.1858156
VT,43.71558845,-73.30815198
PA,40.3089798,-76.5933012
VA,38.6560565,-90.5742028
FL,26.2714628,-80.18180782
MD,38.5167886,-76.3830045
ON,45.4210328,-75.6900218
SD,43.894974,-96.9264449
OH,39.6283928,-84.1593817
AZ,32.9478267,-112.7168238
IN,32.4078632,-87.0207472
AB,55.171025,-118.7951659
CA,38.049365,-122.1585776
PA,40.4211798,-79.7881024
MD,39.0398314,-77.0552554
IL,41.3516628,-88.8454359
IL,41.4039201,-88.1117241
IA,41.8460964,-94.4299693
MI,42.9632405,-85.6678638
CA,37.9577016,-121.2907795
TN,35.7564719,-83.9704592
TN,36.1986898,-84.0371391
WA,47.3075369,-122.2301807
MD,39.2908816,-76.6107589
MD,39.3826031,-77.2694277
MI,38.6560565,-90.5742028
IL,42.1816919,-87.8003437
FL,28.0836269,-80.6081088
AZ,33.5389854,-112.1858156
NC,35.9940329,-78.8986189
AR,33.3578937,-91.8504083
MD,38.9848265,-77.0946458
VA,36.5959685,-82.1885008
ID,42.5704219,-114.460317
MI,42.583645,-83.2454882
KY,38.2542376,-85.7594069
NY,40.6576022,-73.5831834
DE,39.449556,-75.7163206
AL,33.2442813,-86.8163772
MN,44.0839937,-93.2261075
IA,41.6791308,-93.0647785
AK,61.2163129,-149.8948522
CA,38.0040893,-122.5496999
CA,38.0040893,-122.5496999
NC,35.7803977,-78.6390988
AZ,33.4485866,-112.0773455
FL,26.3586885,-80.0830983
UT,40.7670126,-111.8904307
FL,26.7153425,-80.0533745
NH,42.7653662,-71.4675659
MS,30.4115881,-88.53446
CO,38.4570355,-101.8185006
OR,44.9482087,-123.0629462
OR,44.9958075,-123.0197172
IL,37.5803268,-88.4361546
MA,42.5250906,-71.7597939
FL,26.2378597,-80.1247666
CO,40.282292,-104.7780808
CA,35.2597222,-118.9142432
OR,44.9958075,-123.0197172
NY,42.7300784,-73.7012298
CA,33.1958696,-117.3794833
IA,42.360816,-93.0996463
IA,42.360816,-93.0996463
WI,44.9099665,-90.315691
TN,35.8732914,-85.0953336
SK,55.100373,-105.3012079
VA,36.8529841,-75.9774182
CA,32.7425516,-117.0314171
IN,39.7683331,-86.1583501
CO,38.8339578,-104.8253484
IN,39.7683331,-86.1583501
AZ,33.5389854,-112.1858156
AZ,33.5389854,-112.1858156
AZ,33.4485866,-112.0773455
AZ,33.5389854,-112.1858156
AZ,33.4485866,-112.0773455
TX,32.8465405,-97.06673619
CA,37.3361905,-121.8905832
PA,40.1943798,-80.254125
WA,48.1810957,-122.1389547
OH,41.2378345,-80.6642431
MN,44.8838514,-94.0416388
WI,45.3513545,-89.6665189
AZ,33.5389854,-112.1858156
VA,33.7237617,-116.2673236
SK,52.1303794,-106.6605123
SK,52.1303794,-106.6605123
CA,33.9318775,-117.9461073
NC,35.3501426,-80.2000577
SD,44.006085,-97.1139499
WA,47.6588603,-117.4247133
CA,37.9735346,-122.5310873
IL,41.8755546,-87.6244211
WA,47.6859573,-122.1920248
SC,33.0206179,-80.1747536
